2026-04-27T04:18:24.527961+0000 | INFO | src.logger:21 | Fichier de logs crée avec succée début du traitement du pipeline
2026-04-27T04:18:24.528345+0000 | INFO | src.extract:20 | Début de l'extraction des données depuis la data base
2026-04-27T04:18:24.617891+0000 | INFO | src.extract:24 | testing connection !
2026-04-27T04:18:24.634304+0000 | SUCCESS | src.extract:26 | ✅ Connexion à la base de donnée éffectué avec succée
2026-04-27T04:18:24.634924+0000 | INFO | src.extract:28 | ✅ Extraction des données depuis la base reussi
2026-04-27T04:18:24.647201+0000 | INFO | src.clean_data:12 | Début du néttoyage des données brutes reçus
2026-04-27T04:18:24.651781+0000 | INFO | src.clean_data:14 | Copie des données brutes reçu effectué
2026-04-27T04:18:24.678075+0000 | INFO | src.clean_data:32 | Création du fichier csv des données propres avec succée : clean_data_ventes_janvier_27-04-2026_04-18.csv
2026-04-27T04:18:24.678423+0000 | INFO | src.features:10 | Début des features pour l'enrichissement du dataframe
2026-04-27T04:18:24.685048+0000 | INFO | src.features:29 | Fini avec les features
2026-04-27T04:18:24.912635+0000 | SUCCESS | __main__:20 | Données complet pour le Dashbord power BI généré avec succée données_complet_vente_janvier.xlsx
2026-04-27T04:18:24.912974+0000 | INFO | src.analysis.analysis_produit:12 | Début des aggrégations par produits
2026-04-27T04:18:24.920433+0000 | INFO | src.analysis.analysis_produit:29 | Aggrégations par produits éffectué avec succées
2026-04-27T04:18:24.920662+0000 | INFO | src.analysis.analysis_region:13 | Début des aggrégations par régions
2026-04-27T04:18:24.925142+0000 | INFO | src.analysis.analysis_region:30 | Aggrégations par régions éffectué avec succées
2026-04-27T04:18:24.925371+0000 | INFO | src.analysis.analysis_jours:11 | Début des aggrégations par jous
2026-04-27T04:18:24.928988+0000 | INFO | src.analysis.analysis_jours:29 | Aggrégations par jours éffectué avec succées
2026-04-27T04:18:24.929541+0000 | INFO | src.rapport_excel:16 | Lancement de la fonction de génération du rapport
2026-04-27T04:18:24.930848+0000 | INFO | src.rapport_excel:18 | Création du contexte manager et création du fichier Excel
2026-04-27T04:18:24.931817+0000 | INFO | src.rapport_excel:48 | Création de la feuille Données Brutes
2026-04-27T04:18:24.960836+0000 | INFO | src.rapport_excel:54 | Application de la mise en forme du header pour la feuille Données Brutes
2026-04-27T04:18:24.961196+0000 | INFO | src.rapport_excel:57 | Application de l'auto filtre sur la feuille Données Brutes
2026-04-27T04:18:24.961358+0000 | INFO | src.rapport_excel:60 | Fixation du header pour la feuille Données Brutes
2026-04-27T04:18:24.961501+0000 | INFO | src.rapport_excel:48 | Création de la feuille Données Néttoyées
2026-04-27T04:18:25.016530+0000 | INFO | src.rapport_excel:54 | Application de la mise en forme du header pour la feuille Données Néttoyées
2026-04-27T04:18:25.016822+0000 | INFO | src.rapport_excel:57 | Application de l'auto filtre sur la feuille Données Néttoyées
2026-04-27T04:18:25.016973+0000 | INFO | src.rapport_excel:60 | Fixation du header pour la feuille Données Néttoyées
2026-04-27T04:18:25.018461+0000 | INFO | src.rapport_excel:67 | Calcule de la largeur des cellules automatquement
2026-04-27T04:18:25.018689+0000 | INFO | src.rapport_excel:68 | Application des divers formatages pour la feuille Données Néttoyées
2026-04-27T04:18:25.019500+0000 | INFO | src.rapport_excel:67 | Calcule de la largeur des cellules automatquement
2026-04-27T04:18:25.019677+0000 | INFO | src.rapport_excel:68 | Application des divers formatages pour la feuille Données Néttoyées
